,Model,RMSE,MAE,MAPE(%),R²,DA(%),Theil's U
1,AR(1),1.1155320546106864,0.9532296272395477,1.5275496893595273,0.3235269814368008,45.45454545454545,0.9933912328176989
2,Naive (Random Walk),1.1227449561973846,0.9585166666666662,1.5357329038799579,0.31475070666838123,45.45454545454545,0.9999999999626674
3,EMA(4),1.2564325880031209,0.9254492014068786,1.4852510481770929,0.14184694050293478,63.63636363636363,1.1283076663476421
4,Ablation: Naive+PatchTST+RoR,1.474994847533091,1.036750229382238,1.647392488435639,-0.1826803396953971,36.36363636363637,1.2556930719470087
5,  └ PatchTST residual,2.558539785920939,2.3391211526846107,3.7515421644222307,-2.5585307285748744,27.27272727272727,2.2921352341381023
6,Stage 3: RoR (Bias),2.6686771297316234,2.406694291317264,3.8662319692475604,-2.871492644484262,36.36363636363637,2.400825539343092
7,Stage 2: Tree + Trans. Resid.,2.9256657272539277,2.6530570635698294,4.261656609016359,-3.653029214214392,36.36363636363637,2.6379311713789546
8,  └ iTransformer residual,3.261614942335908,2.9160830442598673,4.688240555865705,-4.782980755083366,36.36363636363637,2.9435979532458894
9,LightGBM (single),5.232435082083039,5.084431207626185,8.145801564761214,-13.883122917883707,27.27272727272727,4.6799150378859276
10,Stage 1: Tree OOF Ens.,5.232435082083039,5.084431207626185,8.145801564761214,-13.883122917883707,27.27272727272727,4.6799150378859276
11,XGBoost (single),6.346800509431072,6.249183238292876,10.002444499204167,-20.897577231621476,36.36363636363637,5.6277711128818
