feature,shap
Spread_Crack,15.788171091295222
EX_USD_KRW,0.7411417895723291
Com_Gasoline,0.5219263222494435
Ratio_Gold_Oil,0.5150134274502586
Com_Coal,0.2761365236984916
Com_Gasoline_ma12r,0.2610876417189731
Com_PalmOil,0.1876814337013714
Idx_SnPVIX,0.18364104823599478
Bonds_US_10Y,0.17180193929233734
Bonds_US_3M_ret,0.15481936480328629
Idx_SnP500_ret,0.14903918472534897
Com_Gasoline_ret,0.1445584886105941
Com_NaturalGas,0.14134764881053047
Idx_SnP500,0.12588137325552823
Idx_CSI300,0.12133576416015275
Com_Iron_Ore_ret,0.12099496380729477
EX_USD_CNY,0.11967673108625726
Spread_10Y_2Y,0.11601991044660118
Bonds_US_2Y,0.11576201510968992
Bonds_US_2Y_ret,0.115736489084741
Com_Soybeans,0.11234380718165952
Com_LME_Cu_Cash,0.11032543718762318
Com_NaturalGas_ma12r,0.10833074826846482
EX_USD_JPY,0.10194522969134523
Idx_DxyUSD_ma12r,0.0988524181256842
EX_USD_KRW_ret,0.08572282559976316
Bonds_US_3M,0.08475832166335559
Com_Iron_Ore,0.07943293073963872
Com_NaturalGas_ma4r,0.07804528447515645
Idx_SnPVIX_ret,0.07258950183385394
Bonds_KOR_10Y,0.06943350134865287
Com_Uranium,0.0629398228838373
Com_PalmOil_ret,0.06256297619747292
Idx_SnPVIX_ma4r,0.060817197067106595
Idx_SnPVIX_ma12r,0.06011890532697848
Bonds_KOR_10Y_ret,0.05838052288434681
Com_Steel,0.05439349089617444
Bonds_US_10Y_ret,0.05239721444358512
Com_Gasoline_ma4r,0.0512759655014857
Com_Corn,0.04956523199932506
EX_USD_JPY_ret,0.04541623678332902
Com_Gold_ret,0.04534070460802614
Com_LME_Cu_Cash_ret,0.04526585760376763
Com_NaturalGas_ret,0.04519175442948683
Com_Soybeans_ret,0.044357358105462846
Com_Uranium_ret,0.044204791783597375
Com_Steel_ret,0.04354787858442751
Idx_DxyUSD_ma4r,0.04347019629358142
Idx_DxyUSD,0.03967904474562058
EX_USD_CNY_ret,0.03917400860162635
Com_Corn_ret,0.03915950595917355
Idx_CSI300_ret,0.03854749008431695
Com_Gold,0.038503209315507735
Idx_DxyUSD_ret,0.031861091708136106
Com_Coal_ret,0.027608776882488983
