Experiment,Base,Residual,Base_Val,Base_Test,S2_Val,S2_Test,S3_Val,S3_Test,RoR,Final_Val,Final_Test
Exp9: PatchTST+iTransformer+LGBM,PatchTST,iTransformer,1.5146292096168439,1.445697695556412,1.2632388175707265,1.2383798322822839,1.2922436176242735,1.283557559676063,False,1.2632388175707265,1.2383798322822839
Exp5: LSTM+LSTM+LGBM,LSTM,LSTM,1.8686694485864466,1.2776111994969677,1.6114887336366628,1.3605718220647804,1.7281540041606342,1.3168586383751621,False,1.6114887336366628,1.3605718220647804
Exp2: PatchTST+PatchTST+LGBM,PatchTST,PatchTST,1.5146292096168439,1.445697695556412,1.4820327851390371,1.4505924772494247,2.8188222385377717,2.700564739177823,False,1.4820327851390371,1.4505924772494247
Exp4: Transformer+Transformer+LGBM,Transformer,Transformer,1.3117074040617502,1.4891661271174805,1.4243331862099131,1.466916180944917,1.6280764790139948,1.5464982351845518,False,1.4243331862099131,1.466916180944917
Exp6: PatchTST+NLinear+LGBM,PatchTST,NLinear,1.5146292096168439,1.445697695556412,1.4914017313955343,1.6521733321213492,1.9729521520646813,1.9746871873801957,False,1.4914017313955343,1.6521733321213492
Exp10: Transformer+NLinear+LGBM,Transformer,NLinear,1.3117074040617502,1.4891661271174805,2.011952479751856,1.898876993315764,2.206771302608889,2.0129091873483653,False,2.011952479751856,1.898876993315764
Exp3: iTransformer+iTransformer+LGBM,iTransformer,iTransformer,1.9928391910105911,2.895392958425099,2.050281690193459,2.6886638242344794,2.8829877785706177,3.700875180615341,False,2.050281690193459,2.6886638242344794
Exp8: NLinear+PatchTST+LGBM,NLinear,PatchTST,1.7345395682930913,3.6308153868515944,1.7980512450380868,4.636456077541058,2.2482853772710443,5.734030854100326,False,1.7980512450380868,4.636456077541058
Exp1: NLinear+NLinear+LGBM,NLinear,NLinear,1.7345395682930913,3.6308153868515944,2.0382237641431598,4.746857155583732,2.3015549028763522,4.355283922176999,False,2.0382237641431598,4.746857155583732
Exp7: iTransformer+NLinear+LGBM,iTransformer,NLinear,1.9928391910105911,2.895392958425099,3.611600214121154,5.110615257071433,3.7498937146779694,5.17678903129885,False,3.611600214121154,5.110615257071433
